id,pos_id,position_name,subposition,status,code,order_id,type_code,gcode,level_edu,duration_typ,csbanew,rnm,pre,post,icode,scode
774,2032014238903,Sancred Community Health Service Center & Hospital...,CP19,,Institute,767,Private,Institute,,,,,0,0,222136,
775,2032014237106,"Bangladesh Community Paramedic Institute, Rajshahi",CP17,,Institute,768,Private,Institute,,,,,0,0,222134,
776,2032014239112,"Sadar Hospital, Gaibandha",HOS01,,Institute,769,Public,Institute,,,,,0,0,,
777,2032014237272,"Sadar Hospital, Natore",HOS02,,Institute,770,Public,Institute,,,,,0,0,,
778,2032014244005,"Sadar Hospital, Narshingdi",HOS03,,Institute,771,Public,Institute,,,,,0,0,222161,
779,2032014237624,"Sadar Hospital, Narayangonj",HOS04,,Institute,772,Public,Institute,,,,,0,0,222159,
780,2032014237003,"Sadar Hospital, Manikgonj",HOS05,,Institute,773,Public,Institute,,,,,0,0,222160,
781,2032014244310,"ICMH, Matuail, Dhaka",HOS06,,Institute,774,Public,Institute,,,,,0,0,222164,
782,2032014240315,"Armed Forces Medical Institute, Dhaka Cantonment",AUTO01,,Institute,775,Private,Institute,,,,,60,0,11109,
783,3032014005865,"Dhaka Nursing College, Dhaka",PUBC01,,Institute,776,Public,College,,,,,100,0,11101,
784,3032014003152,"Mymensingh Nursing College, Mymensingh",PUBC02,,Institute,777,Public,College,,,,,100,0,11102,
785,3032014002656,"Rajshahi Nursing College, Rajshahi",PUBC03,,Institute,778,Public,College,,25,,,100,0,11103,
786,3032014008498,"Chittagong Nursing College, Chittagong",PUBC04,,Institute,779,Public,College,,25,,,100,0,11104,
787,3032014010692,"Rangpur Nursing College, Rangpur",PUBC05,,Institute,780,Public,College,,25,,,100,0,11105,
788,3032014007260,"Sylhet Nursing College, Sylhet",PUBC06,,Institute,781,Public,College,,25,,,100,0,11106,
789,3032014010089,"Barisal Nursing College, Barisal",PUBC07,,Institute,782,Public,College,0,25,,,100,0,11107,
790,3032014010248,"College of Nursing, Mohakhali, Dhaka",PUBC08,,Institute,783,Public,College,,,,,0,125,11115,
791,3032014011489,"Fouzderhat Nursing College, Chittagong",PUBC09,,Institute,784,Public,College,,25,,,0,125,11116,
792,3032014002537,Bogra Nursing College,PUBC10,,Institute,785,Public,College,,,,,0,125,11117,
793,3032014007176,EPNC,EPNC,,Institute,786,Public,College,,,,,0,0,10000,
794,3032014008414,"OGSB Hospital, Mirpur, Dhaka",HOS07,,Institute,787,Private,Institute,,,,,0,0,222167,
795,3032014009869,"LAMB Hospital, Parbatipur, Dinajpur",HOS08,,Institute,788,Private,Institute,,,,,0,0,222165,
796,3032014013657,"Christian Hospital, Chandragona, Rangamati",HOS09,,Institute,789,Private,Institute,,,,,0,0,,
799,11032014129148,National Heart Foundation Hospital and Research In...,HOS10,,Institute,791,Private,Institute,,,,,0,0,222171,
800,11032014128331,"Ibrahim Cardiac Hospital and Research Institute, D...",HOS11,,Institute,792,Private,Institute,,,,,0,0,222169,
801,11032014129112,"Suratan Nesa Nursing Institute, Mymensingh",PRI262,,Institute,793,Private,Institute,,,,,0,0,222204,
1031,27032018067300,"Tajuddin Ahmad Nursing College, Gazipur",PUBC13,,Institute,997,Public,College,,,,,100,,11123,
806,11032014135968,"Faculty of Nursing, BSMMU, Dhaka",HOS14,,Institute,798,Public,College,,,,,25,0,11108,
